"IPAddress","Name","Status","ErrorMessage"
"189.204.153.74","74.189-204-153.bestelclientes.com.mx","OK",""
"189.204.153.77","77.189-204-153.bestelclientes.com.mx","OK",""
"189.204.157.234","234.189-204-157.bestelclientes.com.mx","OK",""
"189.204.153.237","237.189-204-153.bestelclientes.com.mx","OK",""
"189.204.157.237","237.189-204-157.bestelclientes.com.mx","OK",""
"189.204.153.241","241.189-204-153.bestelclientes.com.mx","OK",""
"189.204.154.249","249.189-204-154.bestelclientes.com.mx","OK",""
"189.204.154.253","253.189-204-154.bestelclientes.com.mx","OK",""
"169.254.194.181","","NOT_OK","No se pudo encontrar el nombre de host"
"189.204.208.100","smtpin3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
"189.204.208.101","smtpout3.banobras.gob.mx","OK",""
